"par_1","par_2","par_3","par_4","par_5","par_6","par_7","par_8","par_9","par_10","par_11","par_12","par_13","par_14","par_15","par_16","par_17","par_18","par_19","par_20","par_21","par_22","par_23","par_24","par_25","par_26","par_27","par_28","par_mean","para_cont","para_exp","para_nl","con_1","con_2","con_3","con_4","con_5","con_mean","cred_1","cred_2","cred_3","cred_4","cred_5","cred_6","cred_mean","creds_cont","rel_spi","rel_cont","rel_group","rel_group_text","age","gender","education","urban","ses","mis","weight"
2,2,1,2,4,3,3,3,3,2,4,5,3,3,4,1,2,3,1,2,1,1,2,1,3,2,1,2,2.35714285714286,76,3,49,5,5,4,2,5,4.2,1,1,1,1,1,1,1,0,"not-religious-spiritual",0,NA,"",68,"Vrouw",6,"other",8,FALSE,0.841954345728062
2,3,2,1,1,2,2,1,2,2,2,2,3,1,1,1,3,1,1,1,2,1,2,1,2,1,2,3,1.71428571428571,20,1,30,3,4,3,2,3,3,1,1,1,1,2,2,1.33333333333333,22,"not-religious-spiritual",8,1,"",67,"Vrouw",7,"other",6,FALSE,0.151144644342792
5,5,5,4,1,2,3,2,1,3,3,1,3,1,3,1,3,1,3,4,2,1,4,1,1,2,2,3,2.5,52,3,30,5,5,2,1,1,2.8,1,4,1,2,3,2,2.16666666666667,37,"not-religious-spiritual",0,NA,"",31,"Vrouw",7,"other",7,FALSE,0.991556977870488
1,1,1,1,2,1,1,1,2,2,3,2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1.39285714285714,10,1,20,2,2,1,1,1,1.4,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",79,"Man",5,"other",7,FALSE,0.324063795336437
1,1,1,1,4,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.21428571428571,0,1,19,3,2,2,2,2,2.2,1,2,1,1,1,2,1.33333333333333,1,"not-religious-not-spiritual",2,2,"",79,"Man",4,"other",5,FALSE,0.345892979362657
1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.14285714285714,0,2,39,3,4,3,2,2,2.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",61,"Vrouw",5,"other",7,FALSE,0.545443374081446
3,3,2,2,4,3,3,3,3,3,4,2,3,1,4,1,2,2,2,2,1,2,2,1,3,2,1,1,2.32142857142857,53,4,50,3,4,2,3,3,3,1,1,1,1,1,1,1,3,"not-religious-spiritual",9,2,"",67,"Man",5,"other",7,FALSE,0.34521143714874
3,1,1,1,1,1,3,1,2,3,3,3,4,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1.60714285714286,0,1,15,5,5,5,3,5,4.6,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",59,"Man",5,"other",4,FALSE,0.946611902379754
2,1,1,2,2,1,1,1,2,2,1,3,2,2,1,1,2,1,2,1,1,1,2,2,2,1,1,2,1.53571428571429,5,1,20,3,4,3,2,2,2.8,1,1,1,1,1,2,1.16666666666667,5,"religious-not-spiritual",68,2,"",55,"Man",5,"other",3,FALSE,1.18445136375972
3,4,2,3,4,3,3,2,4,4,3,4,4,3,3,2,4,3,3,1,1,2,4,3,4,3,3,4,3.07142857142857,60,1,60,4,4,3,3,3,3.4,1,1,1,1,1,1,1,39,"not-religious-spiritual",50,1,"",65,"Man",7,"other",8,FALSE,0.448015093468267
